item_id,sale_amount,sale_date,sale_id,store_id
1,13.0,"Tue, 01 Jan 2013 00:00:00 GMT",1,1
1,11.0,"Wed, 02 Jan 2013 00:00:00 GMT",2,1
1,14.0,"Thu, 03 Jan 2013 00:00:00 GMT",3,1
1,13.0,"Fri, 04 Jan 2013 00:00:00 GMT",4,1
1,10.0,"Sat, 05 Jan 2013 00:00:00 GMT",5,1
1,12.0,"Sun, 06 Jan 2013 00:00:00 GMT",6,1
1,10.0,"Mon, 07 Jan 2013 00:00:00 GMT",7,1
1,9.0,"Tue, 08 Jan 2013 00:00:00 GMT",8,1
1,12.0,"Wed, 09 Jan 2013 00:00:00 GMT",9,1
1,9.0,"Thu, 10 Jan 2013 00:00:00 GMT",10,1
1,9.0,"Fri, 11 Jan 2013 00:00:00 GMT",11,1
1,7.0,"Sat, 12 Jan 2013 00:00:00 GMT",12,1
1,10.0,"Sun, 13 Jan 2013 00:00:00 GMT",13,1
1,12.0,"Mon, 14 Jan 2013 00:00:00 GMT",14,1
1,5.0,"Tue, 15 Jan 2013 00:00:00 GMT",15,1
1,7.0,"Wed, 16 Jan 2013 00:00:00 GMT",16,1
1,16.0,"Thu, 17 Jan 2013 00:00:00 GMT",17,1
1,7.0,"Fri, 18 Jan 2013 00:00:00 GMT",18,1
1,18.0,"Sat, 19 Jan 2013 00:00:00 GMT",19,1
1,15.0,"Sun, 20 Jan 2013 00:00:00 GMT",20,1
1,8.0,"Mon, 21 Jan 2013 00:00:00 GMT",21,1
1,7.0,"Tue, 22 Jan 2013 00:00:00 GMT",22,1
1,9.0,"Wed, 23 Jan 2013 00:00:00 GMT",23,1
1,8.0,"Thu, 24 Jan 2013 00:00:00 GMT",24,1
1,14.0,"Fri, 25 Jan 2013 00:00:00 GMT",25,1
1,12.0,"Sat, 26 Jan 2013 00:00:00 GMT",26,1
1,12.0,"Sun, 27 Jan 2013 00:00:00 GMT",27,1
1,11.0,"Mon, 28 Jan 2013 00:00:00 GMT",28,1
1,6.0,"Tue, 29 Jan 2013 00:00:00 GMT",29,1
1,9.0,"Wed, 30 Jan 2013 00:00:00 GMT",30,1
1,13.0,"Thu, 31 Jan 2013 00:00:00 GMT",31,1
1,11.0,"Fri, 01 Feb 2013 00:00:00 GMT",32,1
1,21.0,"Sat, 02 Feb 2013 00:00:00 GMT",33,1
1,15.0,"Sun, 03 Feb 2013 00:00:00 GMT",34,1
1,14.0,"Mon, 04 Feb 2013 00:00:00 GMT",35,1
1,9.0,"Tue, 05 Feb 2013 00:00:00 GMT",36,1
1,10.0,"Wed, 06 Feb 2013 00:00:00 GMT",37,1
1,13.0,"Thu, 07 Feb 2013 00:00:00 GMT",38,1
1,11.0,"Fri, 08 Feb 2013 00:00:00 GMT",39,1
1,14.0,"Sat, 09 Feb 2013 00:00:00 GMT",40,1
1,11.0,"Sun, 10 Feb 2013 00:00:00 GMT",41,1
1,16.0,"Mon, 11 Feb 2013 00:00:00 GMT",42,1
1,11.0,"Tue, 12 Feb 2013 00:00:00 GMT",43,1
1,14.0,"Wed, 13 Feb 2013 00:00:00 GMT",44,1
1,10.0,"Thu, 14 Feb 2013 00:00:00 GMT",45,1
1,11.0,"Fri, 15 Feb 2013 00:00:00 GMT",46,1
1,7.0,"Sat, 16 Feb 2013 00:00:00 GMT",47,1
1,11.0,"Sun, 17 Feb 2013 00:00:00 GMT",48,1
1,10.0,"Mon, 18 Feb 2013 00:00:00 GMT",49,1
1,10.0,"Tue, 19 Feb 2013 00:00:00 GMT",50,1
1,7.0,"Wed, 20 Feb 2013 00:00:00 GMT",51,1
1,13.0,"Thu, 21 Feb 2013 00:00:00 GMT",52,1
1,12.0,"Fri, 22 Feb 2013 00:00:00 GMT",53,1
1,15.0,"Sat, 23 Feb 2013 00:00:00 GMT",54,1
1,11.0,"Sun, 24 Feb 2013 00:00:00 GMT",55,1
1,7.0,"Mon, 25 Feb 2013 00:00:00 GMT",56,1
1,9.0,"Tue, 26 Feb 2013 00:00:00 GMT",57,1
1,9.0,"Wed, 27 Feb 2013 00:00:00 GMT",58,1
1,10.0,"Thu, 28 Feb 2013 00:00:00 GMT",59,1
1,15.0,"Fri, 01 Mar 2013 00:00:00 GMT",60,1
1,13.0,"Sat, 02 Mar 2013 00:00:00 GMT",61,1
1,20.0,"Sun, 03 Mar 2013 00:00:00 GMT",62,1
1,14.0,"Mon, 04 Mar 2013 00:00:00 GMT",63,1
1,13.0,"Tue, 05 Mar 2013 00:00:00 GMT",64,1
1,17.0,"Wed, 06 Mar 2013 00:00:00 GMT",65,1
1,11.0,"Thu, 07 Mar 2013 00:00:00 GMT",66,1
1,15.0,"Fri, 08 Mar 2013 00:00:00 GMT",67,1
1,16.0,"Sat, 09 Mar 2013 00:00:00 GMT",68,1
1,11.0,"Sun, 10 Mar 2013 00:00:00 GMT",69,1
1,18.0,"Mon, 11 Mar 2013 00:00:00 GMT",70,1
1,14.0,"Tue, 12 Mar 2013 00:00:00 GMT",71,1
1,13.0,"Wed, 13 Mar 2013 00:00:00 GMT",72,1
1,10.0,"Thu, 14 Mar 2013 00:00:00 GMT",73,1
1,14.0,"Fri, 15 Mar 2013 00:00:00 GMT",74,1
1,10.0,"Sat, 16 Mar 2013 00:00:00 GMT",75,1
1,22.0,"Sun, 17 Mar 2013 00:00:00 GMT",76,1
1,11.0,"Mon, 18 Mar 2013 00:00:00 GMT",77,1
1,19.0,"Tue, 19 Mar 2013 00:00:00 GMT",78,1
1,14.0,"Wed, 20 Mar 2013 00:00:00 GMT",79,1
1,17.0,"Thu, 21 Mar 2013 00:00:00 GMT",80,1
1,21.0,"Fri, 22 Mar 2013 00:00:00 GMT",81,1
1,21.0,"Sat, 23 Mar 2013 00:00:00 GMT",82,1
1,19.0,"Sun, 24 Mar 2013 00:00:00 GMT",83,1
1,13.0,"Mon, 25 Mar 2013 00:00:00 GMT",84,1
1,16.0,"Tue, 26 Mar 2013 00:00:00 GMT",85,1
1,11.0,"Wed, 27 Mar 2013 00:00:00 GMT",86,1
1,13.0,"Thu, 28 Mar 2013 00:00:00 GMT",87,1
1,17.0,"Fri, 29 Mar 2013 00:00:00 GMT",88,1
1,19.0,"Sat, 30 Mar 2013 00:00:00 GMT",89,1
1,20.0,"Sun, 31 Mar 2013 00:00:00 GMT",90,1
1,11.0,"Mon, 01 Apr 2013 00:00:00 GMT",91,1
1,19.0,"Tue, 02 Apr 2013 00:00:00 GMT",92,1
1,24.0,"Wed, 03 Apr 2013 00:00:00 GMT",93,1
1,18.0,"Thu, 04 Apr 2013 00:00:00 GMT",94,1
1,19.0,"Fri, 05 Apr 2013 00:00:00 GMT",95,1
1,23.0,"Sat, 06 Apr 2013 00:00:00 GMT",96,1
1,17.0,"Sun, 07 Apr 2013 00:00:00 GMT",97,1
1,19.0,"Mon, 08 Apr 2013 00:00:00 GMT",98,1
1,13.0,"Tue, 09 Apr 2013 00:00:00 GMT",99,1
1,19.0,"Wed, 10 Apr 2013 00:00:00 GMT",100,1
1,16.0,"Thu, 11 Apr 2013 00:00:00 GMT",101,1
1,18.0,"Fri, 12 Apr 2013 00:00:00 GMT",102,1
1,17.0,"Sat, 13 Apr 2013 00:00:00 GMT",103,1
1,26.0,"Sun, 14 Apr 2013 00:00:00 GMT",104,1
1,14.0,"Mon, 15 Apr 2013 00:00:00 GMT",105,1
1,9.0,"Tue, 16 Apr 2013 00:00:00 GMT",106,1
1,17.0,"Wed, 17 Apr 2013 00:00:00 GMT",107,1
1,21.0,"Thu, 18 Apr 2013 00:00:00 GMT",108,1
1,22.0,"Fri, 19 Apr 2013 00:00:00 GMT",109,1
1,22.0,"Sat, 20 Apr 2013 00:00:00 GMT",110,1
1,20.0,"Sun, 21 Apr 2013 00:00:00 GMT",111,1
1,13.0,"Mon, 22 Apr 2013 00:00:00 GMT",112,1
1,11.0,"Tue, 23 Apr 2013 00:00:00 GMT",113,1
1,13.0,"Wed, 24 Apr 2013 00:00:00 GMT",114,1
1,14.0,"Thu, 25 Apr 2013 00:00:00 GMT",115,1
1,20.0,"Fri, 26 Apr 2013 00:00:00 GMT",116,1
1,22.0,"Sat, 27 Apr 2013 00:00:00 GMT",117,1
1,19.0,"Sun, 28 Apr 2013 00:00:00 GMT",118,1
1,11.0,"Mon, 29 Apr 2013 00:00:00 GMT",119,1
1,15.0,"Tue, 30 Apr 2013 00:00:00 GMT",120,1
1,16.0,"Wed, 01 May 2013 00:00:00 GMT",121,1
1,23.0,"Thu, 02 May 2013 00:00:00 GMT",122,1
1,22.0,"Fri, 03 May 2013 00:00:00 GMT",123,1
1,20.0,"Sat, 04 May 2013 00:00:00 GMT",124,1
1,14.0,"Sun, 05 May 2013 00:00:00 GMT",125,1
1,14.0,"Mon, 06 May 2013 00:00:00 GMT",126,1
1,15.0,"Tue, 07 May 2013 00:00:00 GMT",127,1
1,14.0,"Wed, 08 May 2013 00:00:00 GMT",128,1
1,11.0,"Thu, 09 May 2013 00:00:00 GMT",129,1
1,16.0,"Fri, 10 May 2013 00:00:00 GMT",130,1
1,19.0,"Sat, 11 May 2013 00:00:00 GMT",131,1
1,13.0,"Sun, 12 May 2013 00:00:00 GMT",132,1
1,9.0,"Mon, 13 May 2013 00:00:00 GMT",133,1
1,13.0,"Tue, 14 May 2013 00:00:00 GMT",134,1
1,16.0,"Wed, 15 May 2013 00:00:00 GMT",135,1
1,15.0,"Thu, 16 May 2013 00:00:00 GMT",136,1
1,16.0,"Fri, 17 May 2013 00:00:00 GMT",137,1
1,20.0,"Sat, 18 May 2013 00:00:00 GMT",138,1
1,19.0,"Sun, 19 May 2013 00:00:00 GMT",139,1
1,14.0,"Mon, 20 May 2013 00:00:00 GMT",140,1
1,24.0,"Tue, 21 May 2013 00:00:00 GMT",141,1
1,23.0,"Wed, 22 May 2013 00:00:00 GMT",142,1
1,14.0,"Thu, 23 May 2013 00:00:00 GMT",143,1
1,24.0,"Fri, 24 May 2013 00:00:00 GMT",144,1
1,25.0,"Sat, 25 May 2013 00:00:00 GMT",145,1
1,27.0,"Sun, 26 May 2013 00:00:00 GMT",146,1
1,7.0,"Mon, 27 May 2013 00:00:00 GMT",147,1
1,12.0,"Tue, 28 May 2013 00:00:00 GMT",148,1
1,10.0,"Wed, 29 May 2013 00:00:00 GMT",149,1
1,19.0,"Thu, 30 May 2013 00:00:00 GMT",150,1
1,27.0,"Fri, 31 May 2013 00:00:00 GMT",151,1
1,26.0,"Sat, 01 Jun 2013 00:00:00 GMT",152,1
1,22.0,"Sun, 02 Jun 2013 00:00:00 GMT",153,1
1,12.0,"Mon, 03 Jun 2013 00:00:00 GMT",154,1
1,15.0,"Tue, 04 Jun 2013 00:00:00 GMT",155,1
1,24.0,"Wed, 05 Jun 2013 00:00:00 GMT",156,1
1,9.0,"Thu, 06 Jun 2013 00:00:00 GMT",157,1
1,21.0,"Fri, 07 Jun 2013 00:00:00 GMT",158,1
1,20.0,"Sat, 08 Jun 2013 00:00:00 GMT",159,1
1,38.0,"Sun, 09 Jun 2013 00:00:00 GMT",160,1
1,20.0,"Mon, 10 Jun 2013 00:00:00 GMT",161,1
1,18.0,"Tue, 11 Jun 2013 00:00:00 GMT",162,1
1,22.0,"Wed, 12 Jun 2013 00:00:00 GMT",163,1
1,21.0,"Thu, 13 Jun 2013 00:00:00 GMT",164,1
1,22.0,"Fri, 14 Jun 2013 00:00:00 GMT",165,1
1,26.0,"Sat, 15 Jun 2013 00:00:00 GMT",166,1
